entrez	order	max_neg	min_neg	mean_neg	sd_neg	GO_P1	GO_P2	GO_P3	GO_P4	GO_P5	GO_P6	GO_P7	GO_P8	GO_P9	GO_P10	GO_P11	GO_P12	GO_P13	GO_P14	GO_P15	GO_P16	GO_P17
3920	17215	10.7468	7.452	9.56783302752294	0.51966668413781	0.00521427155990853	0.0587521738068919	0.0289167951649255	0.0342476714141785	1.54927081005583e-08	0.0324738735156236	0.000196659094974894	0.00706836028954955	0.00178559132150005	0.0360183157190471	5.45777078448485e-08	3.83510059085327e-05	0.0604792340384388	1.15683494637448e-06	0.00013027071780073	3.11496119768083e-07	0.0127523968479972
340543	6186	6.586	5.601	6.03939449541284	0.17127912125191	3.15569630791558e-05	9.74759854053942e-06	2.21675852476879e-06	3.15853004097608e-06	0.00730853640863083	0.00299417600203511	0.0102880985962868	4.32525904940896e-05	0.000159031512265003	3.50934787633658e-06	0.00349262352277024	1.16293647191198e-05	1	0.0170526096783448	0.00896458589007154	1	1
55571	2406	11.909	9.59	10.7645596330275	0.441507129072778	3.93727007518924e-06	6.6582574444023e-07	6.86795236028909e-08	4.71697462959003e-05	0.000259026101807465	4.22170083910384e-05	0.000515025672267406	4.06427366405342e-08	0.00230647091697755	5.23953126708255e-05	5.78934638738775e-05	8.70571394962263e-07	1	0.0014134190394279	0.029576340245279	1	1
5104	10816	11.874	5.919	8.04284403669725	1.4772736222785	0.108548542289838	0.00186367023678903	0.0306438845871818	0.036287161148235	0.00329467575841557	0.0344096243066094	0.00644340905927317	0.125774597529364	0.000120829422467321	0.0381611513343466	4.08481601288551e-10	4.58796041016021e-05	1	4.60128572814249e-05	0.000155611429790017	3.73514045714081e-07	0.0135207683140486
116138	5802	11.193	9.293	10.035	0.343982934546555	7.18639787405125e-09	8.37051572483321e-13	2.06362130061709e-05	2.9387016824242e-05	7.54400305535711e-07	4.67332011604555e-08	2.14622045781294e-06	0.00039871529308756	2.09528551918338e-05	3.2644989600281e-05	3.60732913523175e-05	4.07384966306849e-07	0.0149995834412222	0.000886053079325765	0.000244018199821883	1	1
830	4051	13.543	10.056	11.504247706422	0.422668378807505	0.00122815415382516	0.000384133386799593	0.0141196188748549	1	7.44166131411636e-06	0.015871370227732	0.00135525239055579	0.0595674027472892	0.111034425918187	1	7.56678154831386e-07	0.031506349017288	1	9.62451726232874e-05	1.38618270702902e-05	3.20851665197804e-08	0.00620050095637859
64850	10401	9.9595	5.78	6.28628440366972	0.570701567788914	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
81552	9338	7.986	5.8205	7.06271559633028	0.379716380311311	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00896458589007154	1	1
79027	14507	7.6465	6.4	6.80572018348624	0.217842104635027	3.93727007518924e-06	3.75697948465879e-12	3.53485030001239e-17	1.18736199712578e-07	0.000259026101807465	4.22170083910384e-05	0.000515025672267406	6.32711051106075e-06	4.44188440692094e-05	1.39648921573209e-07	0.0115969550295725	0.000172910669864253	0.0187152225667376	0.055730285240811	0.000390666267693131	1	1
10116	16896	7.525	6.101	6.70796330275229	0.255499036984686	9.27058478459088e-10	1.15399344934156e-13	2.59705880909257e-07	4.48710643923883e-07	6.05667935073376e-06	9.44957331469054e-10	1.71406960232172e-05	2.36629189504692e-05	6.53760449709105e-10	5.27631101006913e-07	0.000134610760202339	3.27831349452085e-06	0.027944902049161	7.85251924094362e-05	0.000902835581620341	1	1
80224	138	14.497	8.003	12.5983944954128	1.24528784429729	0.029093833944113	1	0.00796544130765275	8.31707407692612e-08	0.000207543093489516	1	0.00041293583647995	0.000511365042490082	0.00185406050239588	1	0.010443048873003	0.0178429034120761	0.0168591067151257	1	0.0266577728475202	0.00398979867873261	0.00349184890582477
